	PTN	EN	MN	EFM	AM	IM	YM	SGCode	AY	BN	AFM	CDHN	SOM	KN	CMUT	CN	RM	VM	CM	BAPP	CDSG	TrM	PN	MPCMMS	TM
F_code	9.021146560162343	10.488547422095198	11.909364129681013	10.488547422095198	15.913483941968131	13.285780315154627	10.488547422095198	9.021146560162343	9.021146560162343	13.285780315154627	11.909364129681013	10.488547422095198	9.021146560162343	13.285780315154627	11.909364129681013	13.285780315154627	13.285780315154627	7.504832336165033	10.488547422095198	9.021146560162343	10.488547422095198	10.488547422095198	11.909364129681013	10.488547422095198	7.504832336165033
F_gc	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861	15.698480206527861
H_code	-62.927417768996385	-60.299556192077105	-57.75511879220283	-60.299556192077105	-50.58443157437562	-55.290195061074876	-60.299556192077105	-62.927417768996385	-62.927417768996385	-55.290195061074876	-57.75511879220283	-60.299556192077105	-62.927417768996385	-55.290195061074876	-57.75511879220283	-55.290195061074876	-55.290195061074876	-65.64287473181302	-60.299556192077105	-62.927417768996385	-60.299556192077105	-60.299556192077105	-57.75511879220283	-60.299556192077105	-65.64287473181302
H_gc	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907	-45.59085295279907
K_code	22.2797917612085	23.53334350699545	24.747099959265384	61.766671753497725	28.167686324753227	-11.115610216397359	23.53334350699545	22.2797917612085	22.2797917612085	25.922926522401763	62.37354997963281	23.53334350699545	22.2797917612085	25.922926522401763	-12.879350061102041	25.922926522401763	-11.115610216397359	20.98445495722863	23.53334350699545	22.2797917612085	23.53334350699545	61.766671753497725	24.747099959265384	23.53334350699545	20.98445495722863
K_gc	27.98401578529555	27.98401578529555	27.98401578529555	66.78613910387645	27.98401578529555	15.905216321390494	27.98401578529555	27.98401578529555	27.98401578529555	27.98401578529555	66.78613910387645	27.98401578529555	27.98401578529555	27.98401578529555	-8.252382606419605	27.98401578529555	9.865816589437957	27.98401578529555	27.98401578529555	27.98401578529555	27.98401578529555	66.78613910387645	27.98401578529555	27.98401578529555	27.98401578529555
N_code	-4.457481977916319	-2.772683881498326	-1.141371438934834	-54.1590258222475	3.455963626471171	0.4389624897983866	-2.772683881498326	-4.457481977916319	-4.457481977916319	0.4389624897983866	-51.7120571584024	-2.772683881498326	-4.457481977916319	0.4389624897983866	-1.141371438934834	0.4389624897983866	0.4389624897983866	-6.198440010881609	-2.772683881498326	-4.457481977916319	-2.772683881498326	-54.1590258222475	-1.141371438934834	-2.772683881498326	-6.198440010881609
N_gc	3.209106824359589	3.209106824359589	3.209106824359589	-48.94170683278322	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	-48.94170683278322	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	3.209106824359589	-48.94170683278322	3.209106824359589	3.209106824359589	3.209106824359589
Q_code	-31.78434639079849	-29.65879241675337	-27.60071634664614	-29.65879241675337	-21.80068378543511	-25.606955153729967	-29.65879241675337	-31.78434639079849	-31.78434639079849	-25.606955153729967	-27.60071634664614	-94.48818862513006	-31.78434639079849	-151.21391030745994	-27.60071634664614	-151.21391030745994	-25.606955153729967	-33.98075216397849	-29.65879241675337	-31.78434639079849	-29.65879241675337	-29.65879241675337	-27.60071634664614	-29.65879241675337	-33.98075216397849
Q_gc	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-74.07987295480565	-17.761612254033494	-139.8737324411741	-17.761612254033494	-78.81767234760379	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494	-17.761612254033494
Y_code	-5.684156321713042	-3.9795731552338105	-104.65820748014269	-3.9795731552338105	2.322219157204503	-0.7302114941328652	-3.9795731552338105	-5.684156321713042	-5.684156321713042	-0.7302114941328652	-53.49365561010717	-3.9795731552338105	-5.684156321713042	-0.7302114941328652	-53.49365561010717	-0.7302114941328652	-0.7302114941328652	-7.445558927074942	-3.9795731552338105	-5.684156321713042	-3.9795731552338105	-3.9795731552338105	-2.329103740071342	-3.9795731552338105	-7.445558927074942
Y_gc	2.072463444454752	2.072463444454752	-95.85507311109065	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	-50.690772261449155	2.072463444454752	2.072463444454752	2.072463444454752	-50.690772261449155	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752	2.072463444454752
I_code	15.544322782157996	16.906511124381247	18.225455392248154	16.906511124381247	47.961653431430626	46.33545510116283	44.6043407495875	15.544322782157996	15.544322782157996	19.50318265174425	18.225455392248154	16.906511124381247	15.544322782157996	19.50318265174425	18.225455392248154	19.50318265174425	19.50318265174425	42.75781877457375	16.906511124381247	15.544322782157996	16.906511124381247	44.6043407495875	18.225455392248154	16.906511124381247	14.136728161860526
I_gc	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	47.82859477443197	47.82859477443197	47.82859477443197	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	19.718706097067955	33.773650435749964	47.82859477443197	19.718706097067955	19.718706097067955	19.718706097067955	47.82859477443197	19.718706097067955	19.718706097067955	19.718706097067955
A_code	7.672979531745086	27.32970001853483	28.483196843637472	27.32970001853483	31.733960623472047	29.600646892955538	27.32970001853483	26.138383625396067	26.138383625396067	29.600646892955538	28.483196843637472	27.32970001853483	26.138383625396067	29.600646892955538	28.483196843637472	29.600646892955538	29.600646892955538	24.90735668581932	27.32970001853483	26.138383625396067	27.32970001853483	27.32970001853483	28.483196843637472	27.32970001853483	24.90735668581932
A_gc	1.628992395909799	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337	18.847673466493337
G_code	14.400727936202868	15.781361356586684	17.118165144577393	15.781361356586684	-18.671718088446156	18.41319381419326	15.781361356586684	14.400727936202868	14.400727936202868	18.41319381419326	17.118165144577393	15.781361356586684	14.400727936202868	18.41319381419326	17.118165144577393	18.41319381419326	18.41319381419326	12.974073401806235	15.781361356586684	14.400727936202868	-5.273298304266651	15.781361356586684	17.118165144577393	15.781361356586684	12.974073401806235
G_gc	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	-6.797068889402132	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339	-12.339075197010791	5.951420798581339	5.951420798581339	5.951420798581339	5.951420798581339
P_code	-52.479858971519945	-50.02050640746318	-47.639228527979604	-50.02050640746318	-40.92835450398071	-45.332365582230125	-50.02050640746318	-52.479858971519945	-52.479858971519945	-45.332365582230125	-47.639228527979604	-50.02050640746318	-52.479858971519945	-45.332365582230125	-47.639228527979604	-45.332365582230125	-45.332365582230125	-55.021189954378634	-50.02050640746318	-52.479858971519945	-50.02050640746318	-50.02050640746318	-47.639228527979604	-50.02050640746318	-55.021189954378634
P_gc	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505	-67.53079491629505
T_code	-15.458673716655397	-13.596437043806128	-11.793318995491715	-13.596437043806128	-6.711804495696774	-10.046548386187307	-127.19287408761244	-15.458673716655397	-15.458673716655397	-10.046548386187307	-11.793318995491715	-13.596437043806128	-15.458673716655397	-10.046548386187307	-11.793318995491715	-10.046548386187307	-10.046548386187307	-17.38298494526634	-13.596437043806128	-15.458673716655397	-13.596437043806128	-13.596437043806128	-11.793318995491715	-13.596437043806128	-17.38298494526634
T_gc	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-106.34620025759153	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724	-3.173100128795724
V_code	20.223806585290504	21.51051938230194	22.756384154011453	21.51051938230194	26.267457601556295	23.96331565160492	21.51051938230194	20.223806585290504	20.223806585290504	23.96331565160492	22.756384154011453	21.51051938230194	20.223806585290504	23.96331565160492	22.756384154011453	23.96331565160492	23.96331565160492	18.894203361712	21.51051938230194	20.223806585290504	21.51051938230194	21.51051938230194	22.756384154011453	21.51051938230194	18.894203361712
V_gc	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247	28.712526082978247
L_code	9.045464620285966	-7.38503209346896	-5.680507774524975	-7.38503209346896	-0.8768483302284077	-4.029249840548058	64.20498930217705	-9.145442455656962	9.045464620285966	-4.029249840548058	-5.680507774524975	-7.38503209346896	-27.33634953159977	-4.029249840548058	-5.680507774524975	-4.029249840548058	-4.029249840548058	-10.964533163251268	-25.282537442380438	-9.145442455656962	-7.38503209346896	-7.38503209346896	-5.680507774524975	-7.38503209346896	7.52955569729065
L_gc	18.230030023358864	1.2673128395536732	1.2673128395536732	1.2673128395536732	1.2673128395536732	1.2673128395536732	66.28840538339188	1.2673128395536732	18.230030023358864	1.2673128395536732	1.2673128395536732	1.2673128395536732	-14.280516248560227	1.2673128395536732	1.2673128395536732	1.2673128395536732	1.2673128395536732	1.2673128395536732	-14.280516248560227	1.2673128395536732	1.2673128395536732	1.2673128395536732	1.2673128395536732	1.2673128395536732	19.431078368047928
R_code	-63.743009297938926	-61.10199301893993	-58.544818526575746	-7.401328679293169	-51.33823586627688	-30.056296447581715	-61.10199301893993	-63.743009297938926	-63.743009297938926	-56.06755573709806	-5.696545684383726	-61.10199301893993	-63.743009297938926	-56.06755573709806	-5.696545684383726	-56.06755573709806	-30.056296447581715	-10.981372968602948	-61.10199301893993	-63.743009297938926	-61.10199301893993	-7.401328679293169	-58.544818526575746	-61.10199301893993	-66.4720594529046
R_gc	-68.71035662572325	-68.71035662572325	-68.71035662572325	-19.937136592768816	-36.19487660375363	-28.419782302489466	-68.71035662572325	-68.71035662572325	-68.71035662572325	-68.71035662572325	-19.937136592768816	-68.71035662572325	-68.71035662572325	-68.71035662572325	-19.937136592768816	-68.71035662572325	-32.66110515734978	-19.937136592768816	-68.71035662572325	-68.71035662572325	-68.71035662572325	-19.937136592768816	-68.71035662572325	-68.71035662572325	-68.71035662572325
S_code	-68.37787374943525	-65.66210159218632	-63.032544424056326	-120.88280212291505	-107.49596563061718	-113.98021455657398	-65.66210159218632	-68.37787374943525	-96.44085270767442	-60.48516091743049	-117.37672589874168	-65.66210159218632	-40.31489479119588	-60.48516091743049	-90.2046351613991	-60.48516091743049	-87.23268773700225	-71.18417164525921	-65.66210159218632	-68.37787374943525	-65.66210159218632	-120.88280212291505	-63.032544424056326	-65.66210159218632	-71.18417164525921
S_gc	-50.46134403428715	-50.46134403428715	-50.46134403428715	-100.61512537904957	-67.17927114920795	-83.16961910068764	-50.46134403428715	-50.46134403428715	-76.62960345183004	-50.46134403428715	-100.61512537904957	-50.46134403428715	-26.47582210706762	-50.46134403428715	-74.44686596150672	-50.46134403428715	-74.44686596150672	-50.46134403428715	-50.46134403428715	-50.46134403428715	-50.46134403428715	-100.61512537904957	-50.46134403428715	-50.46134403428715	-50.46134403428715
