	PTN	EN	MN	EFM	AM	IM	YM	AY	SGCode	BN	AFM	CDHN	SOM	KN	CMUT	CN	RM	VM	CM	BAPP	CDSG	TrM	PN	MPCMMS	TM
F_code	16.645982356647192	17.9904019960561	19.292141646912373	17.9904019960561	22.96068066296171	20.553201933679258	17.9904019960561	16.645982356647192	16.645982356647192	20.553201933679258	19.292141646912373	17.9904019960561	16.645982356647192	20.553201933679258	19.292141646912373	20.553201933679258	20.553201933679258	15.256748729257966	17.9904019960561	16.645982356647192	17.9904019960561	17.9904019960561	19.292141646912373	17.9904019960561	15.256748729257966
F_gc	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165	7.019463739232165
H_code	-42.73222696578164	-40.430094272785176	-38.201045157344105	-40.430094272785176	-31.919179468374086	-36.041653826760786	-40.430094272785176	-42.73222696578164	-42.73222696578164	-36.041653826760786	-38.201045157344105	-40.430094272785176	-42.73222696578164	-36.041653826760786	-38.201045157344105	-36.041653826760786	-36.041653826760786	-45.111097415211354	-40.430094272785176	-42.73222696578164	-40.430094272785176	-40.430094272785176	-38.201045157344105	-40.430094272785176	-45.111097415211354
H_gc	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784	-30.85427750306784
K_code	49.49134845150247	50.30600412163951	51.09479770701033	75.15300206081974	53.31776144760071	27.788412239257347	50.30600412163951	49.49134845150247	49.49134845150247	51.85894149283823	75.54739885350524	50.30600412163951	49.49134845150247	51.85894149283823	26.642196560515423	51.85894149283823	27.788412239257347	48.64953759236083	50.30600412163951	49.49134845150247	50.30600412163951	75.15300206081974	51.09479770701033	50.30600412163951	48.64953759236083
K_gc	43.65812663185915	43.65812663185915	43.65812663185915	75.37244094448162	43.65812663185915	36.4321790817211	43.65812663185915	43.65812663185915	43.65812663185915	43.65812663185915	75.37244094448162	43.65812663185915	43.65812663185915	43.65812663185915	21.980283981445016	43.65812663185915	32.81920530665209	43.65812663185915	43.65812663185915	43.65812663185915	43.65812663185915	75.37244094448162	43.65812663185915	43.65812663185915	43.65812663185915
N_code	30.466340008093994	31.587850653124725	32.67375778561483	-2.618224020312914	35.73404152263225	33.72573032021451	31.587850653124725	30.466340008093994	30.466340008093994	33.72573032021451	-0.9893633215778578	31.587850653124725	30.466340008093994	33.72573032021451	32.67375778561483	33.72573032021451	33.72573032021451	29.30744567489555	31.587850653124725	30.466340008093994	31.587850653124725	-2.618224020312914	32.67375778561483	31.587850653124725	29.30744567489555
N_gc	22.43592838098907	22.43592838098907	22.43592838098907	-21.22416312180865	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	-21.22416312180865	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	22.43592838098907	-21.22416312180865	22.43592838098907	22.43592838098907	22.43592838098907
Q_code	8.296626377062703	9.77571304840039	11.207844587314693	9.77571304840039	15.243851651527551	12.59522201563778	9.77571304840039	8.296626377062703	8.296626377062703	12.59522201563778	11.207844587314693	-35.33643042739942	8.296626377062703	-74.80955596872444	11.207844587314693	-74.80955596872444	12.59522201563778	6.768236816680398	9.77571304840039	8.296626377062703	9.77571304840039	9.77571304840039	11.207844587314693	9.77571304840039	6.768236816680398
Q_gc	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	-28.78569519209399	15.928035629261542	-86.36612003897747	15.928035629261542	-35.21904220485798	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542	15.928035629261542
Y_code	13.707864066852462	15.099672710935478	-67.10540609276188	15.099672710935478	20.24514709209082	17.752807938718654	15.099672710935478	13.707864066852462	13.707864066852462	17.752807938718654	-25.329054569571536	15.099672710935478	13.707864066852462	17.752807938718654	-25.329054569571536	17.752807938718654	17.752807938718654	12.26966180129999	15.099672710935478	13.707864066852462	15.099672710935478	15.099672710935478	16.447296953619066	15.099672710935478	12.26966180129999
Y_gc	3.742023468127611	3.742023468127611	-92.51595306374489	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	-50.44069251793777	3.742023468127611	3.742023468127611	3.742023468127611	-50.44069251793777	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611	3.742023468127611
I_code	19.065738126010327	20.37112944655854	21.63507977280359	20.37112944655854	50.131414400874995	48.57302110090234	46.9140862977057	19.065738126010327	19.065738126010327	22.859531651353507	21.63507977280359	20.37112944655854	19.065738126010327	22.859531651353507	21.63507977280359	22.859531651353507	22.859531651353507	45.14455584096255	20.37112944655854	19.065738126010327	20.37112944655854	46.9140862977057	21.63507977280359	20.37112944655854	17.716833761443738
I_gc	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	39.812450687847615	39.812450687847615	39.812450687847615	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	5.933441303125584	22.872945995486603	39.812450687847615	5.933441303125584	5.933441303125584	5.933441303125584	39.812450687847615	5.933441303125584	5.933441303125584	5.933441303125584
A_code	-9.6892676640343	13.663931257985892	15.034345047541695	13.663931257985892	18.896420272653334	16.361933406173744	13.663931257985892	12.248585868772558	12.248585868772558	16.361933406173744	15.034345047541695	13.663931257985892	12.248585868772558	16.361933406173744	15.034345047541695	16.361933406173744	16.361933406173744	10.78606229991875	13.663931257985892	12.248585868772558	13.663931257985892	13.663931257985892	15.034345047541695	13.663931257985892	10.78606229991875
A_gc	5.400236425052675	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588	24.23128110322588
G_code	-5.913889201982888	-4.2056006664670464	-2.551543513031035	-4.2056006664670464	-46.83516457547643	-0.949175645640063	-4.2056006664670464	-5.913889201982888	-5.913889201982888	-0.949175645640063	-2.551543513031035	-4.2056006664670464	-5.913889201982888	-0.949175645640063	-2.551543513031035	-0.949175645640063	-0.949175645640063	-7.6791206886826195	-4.2056006664670464	-5.913889201982888	-30.257000833083815	-4.2056006664670464	-2.551543513031035	-4.2056006664670464	-7.6791206886826195
G_gc	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	-7.634375629576967	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346	-17.272382875472424	8.548941602146346	8.548941602146346	8.548941602146346	8.548941602146346
P_code	-59.94476116428908	-57.36500695196186	-54.86714969875608	-57.36500695196186	-47.827733803358264	-52.447350484713226	-57.36500695196186	-59.94476116428908	-59.94476116428908	-52.447350484713226	-54.86714969875608	-57.36500695196186	-59.94476116428908	-52.447350484713226	-54.86714969875608	-52.447350484713226	-52.447350484713226	-62.61050718369393	-57.36500695196186	-59.94476116428908	-57.36500695196186	-57.36500695196186	-54.86714969875608	-57.36500695196186	-62.61050718369393
P_gc	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682	-38.10386724418682
T_code	-13.780812822459751	-11.945638422097508	-10.16872352650863	-11.945638422097508	-5.161054275303827	-8.44733722140708	-123.8912768441952	-13.780812822459751	-13.780812822459751	-8.44733722140708	-10.16872352650863	-11.945638422097508	-13.780812822459751	-8.44733722140708	-10.16872352650863	-8.44733722140708	-8.44733722140708	-15.677159702834098	-11.945638422097508	-13.780812822459751	-11.945638422097508	-11.945638422097508	-10.16872352650863	-11.945638422097508	-15.677159702834098
T_gc	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-108.62430821827192	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906	-4.312154109135906
V_code	0.29255766140655626	1.9007422152548266	3.457873291203188	1.9007422152548266	7.846151777966562	4.966344021028008	1.9007422152548266	0.29255766140655626	0.29255766140655626	4.966344021028008	3.457873291203188	1.9007422152548266	0.29255766140655626	4.966344021028008	3.457873291203188	4.966344021028008	4.966344021028008	-1.3692330442366845	1.9007422152548266	0.29255766140655626	1.9007422152548266	1.9007422152548266	3.457873291203188	1.9007422152548266	-1.3692330442366845
V_gc	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639	8.59005281250639
L_code	0.31669938141752824	-17.690606536778162	-15.822501671114978	-17.690606536778162	-10.557842504246139	-14.012775082503845	60.76979782107399	0.31669938141752824	-19.619960742299096	-14.012775082503845	-15.822501671114978	-17.690606536778162	-39.55662086601559	-14.012775082503845	-15.822501671114978	-14.012775082503845	-14.012775082503845	-21.613626754670776	-37.30570762624117	-19.619960742299096	-17.690606536778162	-17.690606536778162	-15.822501671114978	-17.690606536778162	-1.3446889622256013
L_gc	-0.47526641679057774	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	55.52172763925187	-0.47526641679057774	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	-37.030392218037676	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	-37.030392218037676	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	-17.588523963242274	7.447880142710531
R_code	-78.53084014062051	-75.6513104609331	-72.86319442187062	-17.10087364062194	-65.0057764936038	-41.80183917419079	-75.6513104609331	-78.53084014062051	-78.53084014062051	-70.16220700902895	-15.242129614580294	-75.6513104609331	-78.53084014062051	-70.16220700902895	-15.242129614580294	-70.16220700902895	-41.80183917419079	-21.00423609530935	-75.6513104609331	-78.53084014062051	-75.6513104609331	-17.10087364062194	-72.86319442187062	-75.6513104609331	-81.50635414296423
R_gc	-57.32590655022442	-57.32590655022442	-57.32590655022442	-2.767977587161616	-20.953953908182534	-11.281730164773764	-57.32590655022442	-57.32590655022442	-57.32590655022442	-57.32590655022442	-2.767977587161616	-57.32590655022442	-57.32590655022442	-57.32590655022442	-2.767977587161616	-57.32590655022442	-15.538606453579836	-2.767977587161616	-57.32590655022442	-57.32590655022442	-57.32590655022442	-2.767977587161616	-57.32590655022442	-57.32590655022442	-57.32590655022442
S_code	-64.64490293297902	-61.98933998244712	-59.41808061764632	-115.9857866432628	-102.89573896791356	-109.23623081066087	-61.98933998244712	-92.08572008847548	-64.64490293297902	-56.92717310799566	-112.55744082352837	-61.98933998244712	-37.20408577748236	-56.92717310799566	-85.98776072058743	-56.92717310799566	-83.08170195932826	-67.3889846485287	-61.98933998244712	-64.64490293297902	-61.98933998244712	-115.9857866432628	-59.41808061764632	-61.98933998244712	-67.3889846485287
S_gc	-50.94341534391346	-50.94341534391346	-50.94341534391346	-101.25788712521802	-67.71490593768165	-85.5547630528475	-50.94341534391346	-74.49810145246916	-50.94341534391346	-50.94341534391346	-101.25788712521802	-50.94341534391346	-24.183629671164656	-50.94341534391346	-77.70320101666228	-50.94341534391346	-77.70320101666228	-50.94341534391346	-50.94341534391346	-50.94341534391346	-50.94341534391346	-101.25788712521802	-50.94341534391346	-50.94341534391346	-50.94341534391346
