	PTN	MN	EN	AM	EFM	IM	YM	SGCode	AY	BN	AFM	SOM	CDHN	KN	CMUT	CN	RM	VM	CM	BAPP	CDSG	TrM	PN	MPCMMS	TM
F_gc	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284	17.22821283944284
H_code	-44.700873458447745	-40.10719493595732	-42.36698840266635	-33.73868607523216	-42.36698840266635	-37.91802001508317	-42.36698840266635	-44.700873458447745	-44.700873458447745	-37.91802001508317	-40.10719493595732	-44.700873458447745	-42.36698840266635	-37.91802001508317	-40.10719493595732	-37.91802001508317	-37.91802001508317	-47.11255468275523	-42.36698840266635	-44.700873458447745	-42.36698840266635	-42.36698840266635	-40.10719493595732	-42.36698840266635	-47.11255468275523
H_gc	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826	-28.2150333533826
K_code	44.10138280501829	45.875942081049466	45.00297340493734	48.336126531910786	72.50148670246868	20.082445729049493	45.00297340493734	44.10138280501829	44.10138280501829	46.72163048603299	72.93797104052483	44.10138280501829	45.00297340493734	46.72163048603299	18.813913121574117	46.72163048603299	20.082445729049493	43.16973918510192	45.00297340493734	44.10138280501829	45.00297340493734	72.50148670246868	45.875942081049466	45.00297340493734	43.16973918510192
K_gc	48.42747260566291	48.42747260566291	48.42747260566291	48.42747260566291	76.42090336442779	39.77715119943123	48.42747260566291	48.42747260566291	48.42747260566291	48.42747260566291	76.42090336442779	48.42747260566291	48.42747260566291	48.42747260566291	22.476508386967847	48.42747260566291	35.451990496315396	48.42747260566291	48.42747260566291	48.42747260566291	48.42747260566291	76.42090336442779	48.42747260566291	48.42747260566291	48.42747260566291
N_code	8.578468860786277	11.480739690602599	10.053009685612295	15.504342431938737	-34.92048547158157	12.863853132936814	10.053009685612295	8.578468860786277	8.578468860786277	12.863853132936814	-32.778890464096236	8.578468860786277	10.053009685612295	12.863853132936814	11.480739690602599	12.863853132936814	12.863853132936814	7.0547766751326995	10.053009685612295	8.578468860786277	10.053009685612295	-34.92048547158157	11.480739690602599	10.053009685612295	7.0547766751326995
N_gc	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	-30.129188984091947	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	-30.129188984091947	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	15.653737861468692	-30.129188984091947	15.653737861468692	15.653737861468692	15.653737861468692
Q_code	11.518847163222214	14.327772650104063	12.945962531557328	18.221964802371954	12.945962531557328	15.666401202446071	12.945962531557328	11.518847163222214	11.518847163222214	15.666401202446071	14.327772650104063	11.518847163222214	-30.581056202664016	-68.66719759510787	14.327772650104063	-68.66719759510787	15.666401202446071	10.044161282609236	12.945962531557328	11.518847163222214	12.945962531557328	12.945962531557328	14.327772650104063	12.945962531557328	10.044161282609236
Q_gc	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	-15.723480512274419	-60.03389729328904	21.599547459739952	-19.217174916774542	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952	21.599547459739952
Y_code	-21.392883416540332	-135.07828217171297	-19.4349336840155	-12.196452854681343	-19.4349336840155	-15.702592006390145	-19.4349336840155	-21.392883416540332	-21.392883416540332	-15.702592006390145	-76.30871162878492	-21.392883416540332	-19.4349336840155	-15.702592006390145	-76.30871162878492	-15.702592006390145	-15.702592006390145	-23.41609814014936	-19.4349336840155	-21.392883416540332	-19.4349336840155	-19.4349336840155	-17.539141085856492	-19.4349336840155	-23.41609814014936
Y_gc	-11.99808008916424	-123.99616017832864	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-72.79034020311946	-11.99808008916424	-11.99808008916424	-11.99808008916424	-72.79034020311946	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424	-11.99808008916424
I_code	20.73364878648722	23.250040888503438	22.012138322189028	51.15911692904762	22.012138322189028	49.63283933308036	48.00809221479269	20.73364878648722	20.73364878648722	24.449258999620543	23.250040888503438	20.73364878648722	22.012138322189028	24.449258999620543	23.250040888503438	24.449258999620543	24.449258999620543	46.275028621952444	22.012138322189028	20.73364878648722	22.012138322189028	48.00809221479269	23.250040888503438	22.012138322189028	19.412542932928574
I_gc	24.781643385987714	24.781643385987714	24.781643385987714	51.245471718335224	24.781643385987714	51.245471718335224	51.245471718335224	24.781643385987714	24.781643385987714	24.781643385987714	24.781643385987714	24.781643385987714	24.781643385987714	24.781643385987714	24.781643385987714	24.781643385987714	38.01355755216148	51.245471718335224	24.781643385987714	24.781643385987714	24.781643385987714	51.245471718335224	24.781643385987714	24.781643385987714	24.781643385987714
A_code	13.690068234012653	33.144052854282826	32.06573112612608	36.18295954272443	32.06573112612608	34.18867702843457	32.06573112612608	30.95205458721012	30.95205458721012	34.18867702843457	33.144052854282826	30.95205458721012	32.06573112612608	34.18867702843457	33.144052854282826	34.18867702843457	34.18867702843457	29.80125549699694	32.06573112612608	30.95205458721012	32.06573112612608	32.06573112612608	33.144052854282826	32.06573112612608	29.80125549699694
A_gc	6.793700654352988	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745	22.8214742442745
G_code	12.992790552124859	15.75492418539075	14.396132639993803	-20.62363128000885	14.396132639993803	17.071253494993904	14.396132639993803	12.992790552124859	12.992790552124859	17.071253494993904	15.75492418539075	12.992790552124859	14.396132639993803	17.071253494993904	15.75492418539075	17.071253494993904	17.071253494993904	11.54267039466026	14.396132639993803	12.992790552124859	-7.004834200007751	14.396132639993803	15.75492418539075	14.396132639993803	11.54267039466026
G_gc	2.747458810515363	2.747458810515363	2.747458810515363	-10.101613894572726	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363	-15.603186540932661	2.747458810515363	2.747458810515363	2.747458810515363	2.747458810515363
P_code	-55.406953458384464	-50.47339938034049	-52.90038969292667	-43.63369940850702	-52.90038969292667	-48.12225251502288	-52.90038969292667	-55.406953458384464	-55.406953458384464	-48.12225251502288	-50.47339938034049	-55.406953458384464	-52.90038969292667	-48.12225251502288	-50.47339938034049	-48.12225251502288	-48.12225251502288	-57.99706934935757	-52.90038969292667	-55.406953458384464	-52.90038969292667	-52.90038969292667	-50.47339938034049	-52.90038969292667	-57.99706934935757
P_gc	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027	-73.70653809324027
T_code	-27.5705952504489	-23.52073508376796	-25.513005004473925	-17.906156216324113	-25.513005004473925	-21.590723598084253	-151.02601000894808	-27.5705952504489	-27.5705952504489	-21.590723598084253	-23.52073508376796	-27.5705952504489	-25.513005004473925	-21.590723598084253	-23.52073508376796	-21.590723598084253	-21.590723598084253	-29.696771837956398	-25.513005004473925	-27.5705952504489	-25.513005004473925	-25.513005004473925	-23.52073508376796	-25.513005004473925	-29.696771837956398
T_gc	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-126.07283196039747	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699	-13.036415980198699
V_code	12.30322879743316	15.087253280054341	13.717692849087454	18.946923585506315	13.717692849087454	16.41401494755338	13.717692849087454	12.30322879743316	12.30322879743316	16.41401494755338	15.087253280054341	12.30322879743316	13.717692849087454	16.41401494755338	15.087253280054341	16.41401494755338	16.41401494755338	10.84161594405703	13.717692849087454	12.30322879743316	13.717692849087454	13.717692849087454	15.087253280054341	13.717692849087454	10.84161594405703
V_gc	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347	22.294564117127347
L_code	14.45015608989921	0.5992289806447048	-1.0040092616029936	5.117445845160833	-1.0040092616029936	2.1523660278220973	66.33199691279903	-2.659812692121062	14.45015608989921	2.1523660278220973	0.5992289806447048	-19.76978147414122	-1.0040092616029936	2.1523660278220973	0.5992289806447048	2.1523660278220973	2.1523660278220973	-4.370809570323102	-17.838010805203478	-2.659812692121062	-1.0040092616029936	-1.0040092616029936	0.5992289806447048	-1.0040092616029936	13.02432535806412
L_gc	23.672539926463312	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	68.42840206050018	7.785914821001623	23.672539926463312	7.785914821001623	7.785914821001623	-6.648703693285962	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	-6.648703693285962	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	7.785914821001623	24.92289424621391
R_code	-60.9104182427017	-55.802150996901624	-58.315088916206534	-48.72023504249704	-5.543392610804243	-27.806451989645904	-58.315088916206534	-60.9104182427017	-60.9104182427017	-53.36774238757508	-3.868100664600973	-60.9104182427017	-58.315088916206534	-53.36774238757508	-3.868100664600973	-53.36774238757508	-27.806451989645904	-9.061505697831056	-58.315088916206534	-60.9104182427017	-58.315088916206534	-5.543392610804243	-55.802150996901624	-58.315088916206534	-63.59225854674676
R_gc	-67.43130602356457	-67.43130602356457	-67.43130602356457	-35.74734671143049	-19.90536705536343	-28.20567277106843	-67.43130602356457	-67.43130602356457	-67.43130602356457	-67.43130602356457	-19.90536705536343	-67.43130602356457	-67.43130602356457	-67.43130602356457	-19.90536705536343	-67.43130602356457	-32.35582562892091	-19.90536705536343	-67.43130602356457	-67.43130602356457	-67.43130602356457	-19.90536705536343	-67.43130602356457	-67.43130602356457	-67.43130602356457
S_code	-85.25143514773755	-79.3704372065395	-82.26350877438698	-128.28964735377758	-143.0180116991826	-135.42369883358322	-82.26350877438698	-85.25143514773755	-116.1266743390271	-76.56777412518738	-139.1605829420526	-54.376195956447795	-82.26350877438698	-76.56777412518738	-109.26551007429615	-76.56777412518738	-105.9957364793853	-88.33895906686655	-82.26350877438698	-85.25143514773755	-82.26350877438698	-143.0180116991826	-79.3704372065395	-82.26350877438698	-88.33895906686655
S_gc	-64.14565004716289	-64.14565004716289	-64.14565004716289	-82.38405560795876	-118.86086672955057	-99.7490707030175	-64.14565004716289	-64.14565004716289	-92.81334408696246	-64.14565004716289	-118.86086672955057	-38.098127404574775	-64.14565004716289	-64.14565004716289	-90.193172689751	-64.14565004716289	-90.193172689751	-64.14565004716289	-64.14565004716289	-64.14565004716289	-64.14565004716289	-118.86086672955057	-64.14565004716289	-64.14565004716289	-64.14565004716289
